Name,Actress,Actor,Year of Release,Director,Language,Movie Categories,Rating
Inception,Elliot Page,Leonardo DiCaprio,2010,Christopher Nolan,English,Sci-Fi,8.8
Drishyam,Meena,Mohanlal,2013,Jeethu Joseph,Malayalam,Thriller,8.3
3 Idiots,Kareena Kapoor,Aamir Khan,2009,Rajkumar Hirani,Hindi,Comedy,8.4
The Dark Knight,Maggie Gyllenhaal,Christian Bale,2008,Christopher Nolan,English,Action,9.0
PK,Anushka Sharma,Aamir Khan,2014,Rajkumar Hirani,Hindi,Comedy,8.1
Interstellar,Anne Hathaway,Matthew McConaughey,2014,Christopher Nolan,English,Sci-Fi,8.6
Premam,Sai Pallavi,Nivin Pauly,2015,Alphonse Puthren,Malayalam,Romance,8.3
Bangalore Days,Nazriya Nazim,Dulquer Salmaan,2014,Anjali Menon,Malayalam,Drama,8.3
Vikram,Gayathrie,Kamal Haasan,2022,Lokesh Kanagaraj,Tamil,Action,8.3
Dangal,Fatima Sana Shaikh,Aamir Khan,2016,Nitesh Tiwari,Hindi,Sports,8.3
Queen,Kangana Ranaut,Rajkummar Rao,2013,Vikas Bahl,Hindi,Comedy,8.2
Andhadhun,Tabu,Ayushmann Khurrana,2018,Sriram Raghavan,Hindi,Thriller,8.2
The Shawshank Redemption,Renee Blaine,Tim Robbins,1994,Frank Darabont,English,Drama,9.3
The Godfather,Diane Keaton,Al Pacino,1972,Francis Ford Coppola,English,Crime,9.2
Forrest Gump,Robin Wright,Tom Hanks,1994,Robert Zemeckis,English,Drama,8.8
The Matrix,Carrie-Anne Moss,Keanu Reeves,1999,The Wachowskis,English,Sci-Fi,8.7
Gladiator,Connie Nielsen,Russell Crowe,2000,Ridley Scott,English,Action,8.5
Parasite,Cho Yeo-jeong,Song Kang-ho,2019,Bong Joon-ho,Korean,Thriller,8.5
KGF Chapter 1,Srinidhi Shetty,Yash,2018,Prashanth Neel,Kannada,Action,8.2
KGF Chapter 2,Srinidhi Shetty,Yash,2022,Prashanth Neel,Kannada,Action,8.3
Hridayam,Darshana Rajendran,Pranav Mohanlal,2022,Vineeth Sreenivasan,Malayalam,Romance,8.1
Oppenheimer,Emily Blunt,Cillian Murphy,2023,Christopher Nolan,English,Biography,8.4
96,Trisha,Vijay Sethupathi,2018,C. Prem Kumar,Tamil,Romance,8.5
Kaithi,Karthika Nair,Karthi,2019,Lokesh Kanagaraj,Tamil,Action,8.5
Thani Oruvan,Nayanthara,Jayam Ravi,2015,Mohan Raja,Tamil,Thriller,8.4
Uyare,Parvathy Thiruvothu,Asif Ali,2019,Manu Ashokan,Malayalam,Drama,8.1
Take Off,Parvathy Thiruvothu,Kunchacko Boban,2017,Mahesh Narayanan,Malayalam,Thriller,8.2
Arjun Reddy,Shalini Pandey,Vijay Deverakonda,2017,Sandeep Reddy Vanga,Telugu,Romance,8.1
Sita Ramam,Mrunal Thakur,Dulquer Salmaan,2022,Hanu Raghavapudi,Telugu,Romance,8.6
The Lion King,Nala (voice),Matthew Broderick,1994,Roger Allers,English,Animation,8.5
Avengers: Endgame,Scarlett Johansson,Robert Downey Jr.,2019,Anthony Russo,English,Superhero,8.4
